Hx,Hx_2f_voltage,Hy,Hy_2f_voltage
-4955.8,7.934168E-6,-4958.6,3.819187E-6
-4190.1,9.7037E-6,-4189.5,4.348653E-6
-3402.5,1.485021E-5,-3400.8,7.131915E-6
-3345.5,1.655493E-5,-3331.5,8.045476E-6
-3289.3,1.724336E-5,-3265.1,8.575954E-6
-3233.1,1.801898E-5,-3198.1,9.313563E-6
-3177.7,1.881285E-5,-3131.3,1.000265E-5
-3121.4,1.959291E-5,-3065.7,1.084132E-5
-3066.8,2.069559E-5,-2998.9,1.172381E-5
-3011,2.175208E-5,-2930.1,1.287699E-5
-2954.7,2.298813E-5,-2862.4,1.405305E-5
-2898.4,2.452442E-5,-2794.6,1.556801E-5
-2843,2.579102E-5,-2727,1.711634E-5
-2785.6,2.749576E-5,-2659.8,1.924384E-5
-2729.5,2.930771E-5,-2592.8,2.147045E-5
-2672.4,3.129268E-5,-2524.4,2.414986E-5
-2616.4,3.359343E-5,-2454.8,2.734003E-5
-2560.8,3.618624E-5,-2386.9,3.090578E-5
-2504.5,3.923796E-5,-2319.7,3.482555E-5
-2447.2,4.26712E-5,-2252.5,3.910089E-5
-2389.8,4.644419E-5,-2185.9,4.37072E-5
-2332.9,5.092046E-5,-2118.1,4.859924E-5
-2278,5.579613E-5,-2048.1,5.311879E-5
-2221,6.154222E-5,-1980.3,5.677999E-5
-2164.6,6.798551E-5,-1912,5.950058E-5
-2107.4,7.566854E-5,-1843.7,6.08033E-5
-2051.1,8.455559E-5,-1776.4,6.105337E-5
-1995.3,9.450959E-5,-1708.9,6.091136E-5
-1938.3,1.060191E-4,-1641.3,6.074483E-5
-1881.2,1.194423E-4,-1571.7,6.091879E-5
-1824,1.345584E-4,-1503.4,6.12226E-5
-1768.7,1.513133E-4,-1436.4,6.176244E-5
-1712.2,1.704822E-4,-1367.4,6.117753E-5
-1655.1,1.918801E-4,-1300.3,5.346819E-5
-1597.3,2.164493E-4,-1232.2,3.561772E-5
-1540.5,2.43713E-4,-1165.1,2.035584E-5
-1485.6,2.739628E-4,-1095.9,1.500775E-5
-1428.2,3.098744E-4,-1027.2,1.314084E-5
-1371.3,3.454165E-4,-959.8,1.168033E-5
-1314.4,3.661652E-4,-891.8,1.06339E-5
-1257.1,3.541251E-4,-823.8,9.748397E-6
-1202,2.922494E-4,-756.5,9.029044E-6
-1145.2,1.768776E-4,-688.1,8.229598E-6
-1088.3,7.436324E-5,-620.5,7.589574E-6
-1031.2,2.125382E-5,-552.6,7.115706E-6
-974.4,8.018267E-6,-484.5,6.627694E-6
-918.4,6.598077E-6,-416.9,6.157934E-6
-861.2,6.228528E-6,-349.8,5.697116E-6
-803.2,5.852646E-6,-282,5.308194E-6
-746.6,5.46177E-6,-213.4,4.955782E-6
-690.6,5.035782E-6,-146.4,4.603371E-6
-635.7,4.740928E-6,-78.5,4.187255E-6
-579.4,4.488073E-6,-13.8,3.821053E-6
-521.8,4.237081E-6,52.1,3.398225E-6
-464.6,3.983762E-6,119.9,3.112496E-6
-409.1,3.553196E-6,187.3,2.802553E-6
-352.5,3.358735E-6,257.4,2.374141E-6
-296.8,3.08651E-6,324.9,2.009435E-6
-239.6,2.872492E-6,392.5,1.554945E-6
-182.6,2.584991E-6,459,1.071772E-6
-127.6,2.216188E-6,527.7,6.13559E-7
-72.4,2.094186E-6,595.9,1.1175933E-7
-16.9,1.882677E-6,663.9,-4.97702E-7
38.4,1.541813E-6,733,-1.188748E-6
95,1.35145E-6,800.3,6.49321E-6
150.8,1.143579E-6,868,7.396965E-6
207.6,8.679966E-7,935.2,8.2594E-6
265,6.337686E-7,1002.8,9.344203E-6
322.7,2.927164E-7,1070.6,1.0446896E-5
380,2.0116677E-8,1139.1,1.23848E-5
433.9,-3.197247E-7,1207,1.716811E-5
490.3,-4.870841E-7,1274.7,3.043247E-5
547.6,-9.190333E-7,1342,5.194865E-5
605.3,-1.739439E-6,1410,6.513193E-5
660.5,-1.612315E-6,1478.5,6.789721E-5
717.5,-1.922263E-6,1545.9,6.776759E-5
775.1,-4.348187E-6,1615.4,6.626405E-5
831.2,-4.443558E-6,1683.4,6.485255E-5
887.8,-4.732639E-6,1751.2,6.404343E-5
943.2,-5.289941E-6,1818.9,6.388808E-5
999.8,-5.316763E-6,1887.3,6.345965E-5
1057,-7.695012E-6,1955.1,6.233724E-5
1113,-2.980847E-5,2022.6,5.987349E-5
1170.1,-1.053339E-4,2092.1,5.631844E-5
1225.1,-2.226423E-4,2159.4,5.170391E-5
1282.3,-3.258368E-4,2227.7,4.684984E-5
1338.7,-3.708918E-4,2295.4,4.205765E-5
1396.2,-3.662426E-4,2362.5,3.731459E-5
1453.1,-3.356417E-4,2429.9,3.295972E-5
1509.8,-2.987345E-4,2499.3,2.913042E-5
1565.7,-2.634186E-4,2567,2.590913E-5
1622.4,-2.338419E-4,2634.7,2.308201E-5
1679.7,-2.059885E-4,2702.9,2.0522E-5
1736.6,-1.830052E-4,2770.2,1.842691E-5
1792.3,-1.620897E-4,2837.9,1.65922E-5
1848.8,-1.429151E-4,2905.4,1.498319E-5
1906.4,-1.257668E-4,2974.4,1.373595E-5
1962.7,-1.112227E-4,3041.5,1.247642E-5
2018.3,-9.854486E-5,3108.7,1.149294E-5
2075.3,-8.761928E-5,3176,1.065586E-5
2132.8,-7.79276E-5,3243.6,9.851588E-6
2189.9,-6.971405E-5,3311,9.169488E-6
2246.6,-6.256151E-5,3377.8,8.519797E-6
2302.9,-5.68869E-5,4171.1,5.209848E-6
2360,-5.135559E-5,4961.4,3.898539E-6
2416.8,-4.682563E-5,4196,4.781438E-6
2473.7,-4.279635E-5,3413.3,7.638386E-6
2530.8,-3.926183E-5,3344.6,8.750394E-6
2586.2,-3.615045E-5,3278.5,9.325578E-6
2644,-3.351591E-5,3212,1.0084421E-5
2700.2,-3.125096E-5,3145.8,1.078252E-5
2757.5,-2.901567E-5,3079.1,1.166169E-5
2813.9,-2.697717E-5,3012.1,1.27048E-5
2869.8,-2.541554E-5,2945,1.389129E-5
2927.2,-2.39314E-5,2877.8,1.518736E-5
2983.7,-2.254262E-5,2810.8,1.67956E-5
3040.9,-2.13684E-5,2744.1,1.880986E-5
3095.4,-2.021802E-5,2676.8,2.087777E-5
3152.6,-1.916896E-5,2609.2,2.329733E-5
3208.7,-1.837622E-5,2542.1,2.629469E-5
3264.6,-1.754178E-5,2473.2,2.972272E-5
3321.9,-1.673708E-5,2405.8,3.345595E-5
3376.8,-1.598612E-5,2338.6,3.778957E-5
3373.2,-1.686826E-5,2068,5.667605E-5
3330.1,-1.650464E-5,1999.8,6.021509E-5
3276.9,-1.72378E-5,1932.8,6.254846E-5
3222.7,-1.78815E-5,1864.7,6.366829E-5
3167.4,-1.873983E-5,1797.4,6.393539E-5
3112.7,-1.972331E-5,1729.5,6.405646E-5
3059.1,-2.076634E-5,1661.9,6.519678E-5
3002.9,-2.186904E-5,1592.9,6.663922E-5
2948.7,-2.304326E-5,1524.9,6.816844E-5
2892.6,-2.453336E-5,1457,6.824891E-5
2838,-2.594005E-5,1389.6,6.456086E-5
2782.8,-2.781165E-5,1322.6,4.991167E-5
2725.9,-2.951631E-5,1255.5,2.893409E-5
2670.8,-3.177545E-5,1188.6,1.675311E-5
2613.9,-3.424905E-5,1118.5,1.204279E-5
2559.6,-3.702065E-5,1052.4,1.049941E-5
2503.8,-4.000688E-5,983.4,9.204133E-6
2446.8,-4.354145E-5,916.4,8.194208E-6
2391.1,-4.7529E-5,849.1,7.256895E-6
2335.1,-5.225559E-5,781.1,6.528973E-6
2280.4,-5.750678E-5,711.8,5.797326E-6
2223.5,-6.371784E-5,644.1,5.16924E-6
2168,-7.087037E-5,576.3,4.582507E-6
2112.7,-7.919716E-5,508,4.161551E-6
2055.5,-8.899022E-5,440.6,3.638507E-6
2000.9,-9.95104E-5,374.1,3.128514E-6
1943.6,-1.127009E-4,305.1,2.821921E-6
1887.6,-1.277455E-4,235.7,2.321242E-6
1831.1,-1.444706E-4,168.4,2.015767E-6
1775.7,-1.630972E-4,100.2,1.660742E-6
1719.6,-1.843699E-4,32.9,1.233452E-6
1662.8,-2.081702E-4,-32.3,9.507004E-7
1606.5,-2.351413E-4,-99.1,5.010544E-7
1549.5,-2.65654E-4,-166,1.7583465E-7
1495.2,-2.99527E-4,-235.3,-1.2442549E-7
1438.2,-3.37233E-4,-302.6,-5.960495E-7
1381.4,-3.677685E-4,-370.2,-1.018501E-6
1324.7,-3.70433E-4,-438.9,-1.415245E-6
1267.5,-3.23965E-4,-507,-1.867873E-6
1213,-2.183747E-4,-574.5,-2.491117E-6
1155.8,-1.0243107E-4,-642.3,-2.98658E-6
1099.3,-3.005877E-5,-711.1,7.235305E-6
1043.3,-9.858615E-6,-777.7,9.055495E-6
986.9,-5.431317E-6,-845.3,9.704813E-6
932.3,-5.025912E-6,-913.8,1.065811E-5
875,-4.617246E-6,-982.1,1.172579E-5
818.8,-4.371098E-6,-1050,1.301475E-5
762.1,-4.093843E-6,-1119.5,1.52641E-5
705.5,-3.795906E-6,-1186.6,2.108078E-5
649.7,-3.558039E-6,-1255,3.738837E-5
592.4,-3.305279E-6,-1323.3,5.514497E-5
536,-3.029608E-6,-1390.9,6.133472E-5
478.4,-2.996267E-6,-1459.4,6.168791E-5
424,-2.683994E-6,-1526.9,6.122524E-5
367.9,-2.44511E-6,-1596.6,6.079326E-5
310.7,-2.194956E-6,-1665.2,6.066884E-5
253.5,-1.941077E-6,-1733,6.085507E-5
196.8,-1.757505E-6,-1801.2,6.101091E-5
141.1,-1.563978E-6,-1869,6.068485E-5
84.3,-1.368027E-6,-1936.8,5.918615E-5
28.3,-1.139574E-6,-2005.3,5.623423E-5
-26.5,-9.31141E-7,-2075,5.24944E-5
-82.1,-6.979366E-7,-2142.9,4.80453E-5
-137.6,-4.025199E-7,-2210.3,4.330151E-5
-193.5,-2.405623E-7,-2277.9,3.854693E-5
-250.6,-3.6601157E-8,-2345.1,3.428146E-5
-306.8,1.88500809E-7,-2413.9,3.016493E-5
-363.9,4.20867E-7,-2483.9,2.672572E-5
-419.1,6.290189E-7,-2551.3,2.375405E-5
-476.2,9.405479E-7,-2619.1,2.116015E-5
-533.5,1.178506E-6,-2686.6,1.886164E-5
-590.6,1.470007E-6,-2754.2,1.693344E-5
-645.4,1.768496E-6,-2823.6,1.54135E-5
-701.9,4.93222E-6,-2891.9,1.387749E-5
-758.1,5.428522E-6,-2961.7,1.261874E-5
-815.2,5.780936E-6,-3029,1.148288E-5
-872.5,6.197423E-6,-3095.9,1.054599E-5
-928.2,6.711513E-6,-3163,9.919391E-6
-985.2,7.480425E-6,-3230.9,9.293168E-6
-1042.7,2.024781E-5,-3298.6,8.561519E-6
-1099.3,7.271214E-5,-3366.1,8.034018E-6
-1156.5,1.770625E-4,-4164.2,5.102559E-6
-1211.5,2.886611E-4,-4959,3.781187E-6
-1269.5,3.547209E-4,,
-1326.5,3.667671E-4,,
-1383.4,3.445882E-4,,
-1440.8,3.093141E-4,,
-1496,2.753157E-4,,
-1552.6,2.443981E-4,,
-1609.4,2.165089E-4,,
-1666.8,1.919995E-4,,
-1723.9,1.705E-4,,
-1779.4,1.519213E-4,,
-1836.9,1.349638E-4,,
-1893.8,1.191441E-4,,
-1951,1.061324E-4,,
-2006.4,9.484342E-5,,
-2064.3,8.460927E-5,,
-2120.5,7.56924E-5,,
-2176.9,6.797957E-5,,
-2233.9,6.118449E-5,,
-2287.9,5.573057E-5,,
-2345.2,5.062841E-5,,
-2402.5,4.633092E-5,,
-2460,4.240298E-5,,
-2517.1,3.895782E-5,,
-2573.1,3.610275E-5,,
-2629.1,3.362915E-5,,
-2685.9,3.110787E-5,,
-2743.3,2.912297E-5,,
-2800.5,2.726922E-5,,
-2856.4,2.561223E-5,,
-2914.4,2.416384E-5,,
-2970.9,2.283466E-5,,
-3028.2,2.161276E-5,,
-3083.1,2.042066E-5,,
-3139.7,1.961598E-5,,
-3197,1.863852E-5,,
-3253.9,1.772058E-5,,
-3310.9,1.707682E-5,,
-3366.6,1.6302E-5,,
-4163.9,1.081237E-5,,
-4958,7.826139E-6,,
